country_code,country_name,area_km2,population
AT,Austria,82519.0,8978929.0
BE,Belgium,30452.0,11631136.0
BG,Bulgaria,110001.0,6838937.0
CZ,Czechia,77212.0,10516707.0
DK,Denmark,41987.0,5873420.0
DE,Germany,353296.0,83237124.0
EE,Estonia,43110.0,1331796.0
IE,Ireland,68655.0,5060005.0
EL,Greece,130048.0,10603810.0
ES,Spain,502654.0,47432805.0
FR,France,633886.0,67842582.0
HR,Croatia,55896.0,
IT,Italy,297825.0,58983122.0
CY,Cyprus,9213.0,904705.0
LV,Latvia,63290.0,1875757.0
LT,Lithuania,62643.0,2805998.0
LU,Luxembourg,2586.0,645397.0
HU,Hungary,91248.0,9689010.0
MT,Malta,313.0,520971.0
NL,Netherlands,34188.0,17590672.0
PL,Poland,307236.0,37654247.0
PT,Portugal,90996.0,
RO,Romania,234270.0,19038098.0
SI,Slovenia,20145.0,2107180.0
SK,Slovakia,48702.0,5434712.0
FI,Finland,304316.0,5548241.0
SE,Sweden,407300.0,10452326.0
