idx,indic_fo,Country,2020 ,2017 ,2010 
"A,THS_HA,FOR,AT",FOR,AT,3899.15,3888.38,3863.2
"A,THS_HA,FOR,BA",FOR,BA,2187.91,2187.91,2102.66
"A,THS_HA,FOR,BE",FOR,BE,689.3,689.3,689.87
"A,THS_HA,FOR,BG",FOR,BG,3893.0,3854.0,3737.0
"A,THS_HA,FOR,CH",FOR,CH,1269.11,1258.79,1234.72
"A,THS_HA,FOR,CZ",FOR,CZ,2677.09,2671.66,2657.38
"A,THS_HA,FOR,DE",FOR,DE,11419.0,11419.0,11409.0
"A,THS_HA,FOR,DK",FOR,DK,628.44,625.6,586.49
"A,THS_HA,FOR,EE",FOR,EE,2438.4,2438.4,2336.02
"A,THS_HA,FOR,EL",FOR,EL,3901.8,3901.8,3901.8
"A,THS_HA,FOR,ES",FOR,ES,18572.17,18559.3,18545.34
"A,THS_HA,FOR,FI",FOR,FI,22409.0,22409.0,22242.0
"A,THS_HA,FOR,FR",FOR,FR,17253.0,17002.8,16419.0
"A,THS_HA,FOR,HR",FOR,HR,1939.11,1931.61,1920.0
"A,THS_HA,FOR,HU",FOR,HU,2053.01,2057.27,2046.39
"A,THS_HA,FOR,IE",FOR,IE,782.02,770.02,720.38
"A,THS_HA,FOR,IT",FOR,IT,9566.13,9404.7,9028.04
"A,THS_HA,FOR,LI",FOR,LI,6.7,6.7,6.7
"A,THS_HA,FOR,LT",FOR,LT,2201.0,2196.0,2170.0
"A,THS_HA,FOR,LU",FOR,LU,88.7,88.7,88.7
"A,THS_HA,FOR,LV",FOR,LV,3410.79,3399.18,3372.12
"A,THS_HA,FOR,MT",FOR,MT,0.46,0.42,0.35
"A,THS_HA,FOR,NL",FOR,NL,369.5,366.7,373.48
"A,THS_HA,FOR,NO",FOR,NO,12180.0,12156.6,12102.0
"A,THS_HA,FOR,PL",FOR,PL,9483.0,9447.0,9329.0
"A,THS_HA,FOR,PT",FOR,PT,3312.0,3312.0,3252.0
"A,THS_HA,FOR,RO",FOR,RO,6929.05,6929.05,6515.0
"A,THS_HA,FOR,SE",FOR,SE,27980.0,27980.0,28073.0
"A,THS_HA,FOR,SI",FOR,SI,1237.83,1243.93,1247.0
"A,THS_HA,FOR,SK",FOR,SK,1925.9,1925.9,1917.91
"A,THS_HA,FOR,UK",FOR,UK,3190.0,3164.0,3059.0
"A,THS_HA,OWL,AT",OWL,AT,130.24,131.44,134.21
"A,THS_HA,OWL,BA",OWL,BA,625.37,625.37,675.6
"A,THS_HA,OWL,BE",OWL,BE,32.9,32.9,32.8
"A,THS_HA,OWL,BG",OWL,BG,24.0,24.0,24.0
"A,THS_HA,OWL,CH",OWL,CH,74.92,73.63,70.63
"A,THS_HA,OWL,CZ",OWL,CZ,0.0,0.0,0.0
"A,THS_HA,OWL,DE",OWL,DE,0.0,0.0,0.0
"A,THS_HA,OWL,DK",OWL,DK,36.95,42.53,46.9
"A,THS_HA,OWL,EE",OWL,EE,94.44,94.44,108.04
"A,THS_HA,OWL,EL",OWL,EL,2634.72,2634.72,2634.72
"A,THS_HA,OWL,ES",OWL,ES,9381.82,9394.7,9250.07
"A,THS_HA,OWL,FI",OWL,FI,746.0,746.0,789.0
"A,THS_HA,OWL,FR",OWL,FR,843.0,811.8,739.0
"A,THS_HA,OWL,HR",OWL,HR,618.09,609.09,554.0
"A,THS_HA,OWL,HU",OWL,HU,200.0,173.0,0.0
"A,THS_HA,OWL,IE",OWL,IE,65.74,65.74,47.68
"A,THS_HA,OWL,IT",OWL,IT,1865.84,1834.28,1760.62
"A,THS_HA,OWL,LI",OWL,LI,0.26,0.26,0.26
"A,THS_HA,OWL,LT",OWL,LT,62.1,62.1,84.0
"A,THS_HA,OWL,LU",OWL,LU,2.7,2.7,2.7
"A,THS_HA,OWL,LV",OWL,LV,107.8,109.6,113.8
"A,THS_HA,OWL,MT",OWL,MT,0.07,0.07,0.0
"A,THS_HA,OWL,NL",OWL,NL,0.0,0.0,0.0
"A,THS_HA,OWL,NO",OWL,NO,2145.0,2083.8,1941.0
"A,THS_HA,OWL,PL",OWL,PL,0.0,0.0,0.0
"A,THS_HA,OWL,PT",OWL,PT,1543.0,1543.0,1501.0
"A,THS_HA,OWL,RO",OWL,RO,15.57,15.57,404.0
"A,THS_HA,OWL,SE",OWL,SE,2364.0,2364.0,2432.0
"A,THS_HA,OWL,SI",OWL,SI,27.42,24.77,25.0
"A,THS_HA,OWL,SK",OWL,SK,20.41,20.41,20.99
"A,THS_HA,OWL,UK",OWL,UK,20.0,20.0,20.0
