idx,treespec,stk_flow,unit,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 
"A,CONIF,RW_IN,EXP,THS_EUR,AT",CONIF,EXP,THS_EUR,AT,77676.78,64253.07,57954.0,57941.0,46230.0,41286.0,39882.0,34439.0,37873.18,33743.52
"A,CONIF,RW_IN,EXP,THS_EUR,BE",CONIF,EXP,THS_EUR,BE,178707.58,65139.62,48734.92,53814.79,30001.33,36643.0,37785.02,46916.0,,
"A,CONIF,RW_IN,EXP,THS_EUR,BG",CONIF,EXP,THS_EUR,BG,6214.88,15695.62,4358.73,7528.87,4357.04,6218.94,2600.77,3147.12,304.73,266.3
"A,CONIF,RW_IN,EXP,THS_EUR,CH",CONIF,EXP,THS_EUR,CH,25252.06,42683.98,39797.73,55504.85,46423.84,91625.98,76189.98,141398.68,56586.97,53996.47
"A,CONIF,RW_IN,EXP,THS_EUR,CY",CONIF,EXP,THS_EUR,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.36,0.0
"A,CONIF,RW_IN,EXP,THS_EUR,CZ",CONIF,EXP,THS_EUR,CZ,,458144.34,316519.81,256768.06,103667.12,128151.26,148370.28,85091.07,110283.89,97790.4
"A,CONIF,RW_IN,EXP,THS_EUR,DE",CONIF,EXP,THS_EUR,DE,836593.0,277157.0,196489.0,170133.0,189066.0,336041.0,176142.0,205974.96,136826.8,196469.32
"A,CONIF,RW_IN,EXP,THS_EUR,DK",CONIF,EXP,THS_EUR,DK,,,34191.14,22967.73,23559.49,22431.2,8974.4,25222.03,6830.74,7224.58
"A,CONIF,RW_IN,EXP,THS_EUR,EE",CONIF,EXP,THS_EUR,EE,39797.02,100678.97,57748.21,59106.87,24138.82,27529.01,53948.88,95224.36,45845.63,19325.13
"A,CONIF,RW_IN,EXP,THS_EUR,EL",CONIF,EXP,THS_EUR,EL,,,619.03,1072.01,216.28,1358.24,53.73,1.68,20.3,19.37
"A,CONIF,RW_IN,EXP,THS_EUR,ES",CONIF,EXP,THS_EUR,ES,51889.8,36282.55,29533.54,14276.79,7436.75,2267.0,3649.0,6142.0,7518.11,6187.15
"A,CONIF,RW_IN,EXP,THS_EUR,FI",CONIF,EXP,THS_EUR,FI,87673.59,85418.88,57879.99,54571.27,47596.02,49243.4,33197.8,41202.17,64709.23,108844.81
"A,CONIF,RW_IN,EXP,THS_EUR,FR",CONIF,EXP,THS_EUR,FR,163259.2,101179.08,108921.32,120337.81,95229.0,74337.0,71991.0,93928.0,22609.38,24388.91
"A,CONIF,RW_IN,EXP,THS_EUR,HR",CONIF,EXP,THS_EUR,HR,2607.1,4626.22,2975.29,134.01,609.41,3399.97,131.01,248.08,293.72,778.45
"A,CONIF,RW_IN,EXP,THS_EUR,HU",CONIF,EXP,THS_EUR,HU,12272.74,10248.54,13568.53,14084.34,12869.4,8124.57,10074.13,10786.81,5436.46,5082.64
"A,CONIF,RW_IN,EXP,THS_EUR,IE",CONIF,EXP,THS_EUR,IE,24984.0,22342.0,19081.0,17889.0,9796.0,10568.0,9622.87,8487.0,9000.95,9828.68
"A,CONIF,RW_IN,EXP,THS_EUR,IS",CONIF,EXP,THS_EUR,IS,0.0,0.0,,0.01,,0.0,,,0.0,0.0
"A,CONIF,RW_IN,EXP,THS_EUR,IT",CONIF,EXP,THS_EUR,IT,22101.72,11135.25,14434.7,10717.86,1898.0,1764.0,441.0,1319.55,610.87,341.0
