idx,owner,treespec,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 
"A,THS_M3,PRV,CONIF,AT",PRV,CONIF,AT,14080.18,14754804.0,13260.64,13569.62,12373.91,14840.0,12574.0,9899.0,10660.0,10399.0
"A,THS_M3,PRV,CONIF,BE",PRV,CONIF,BE,,,,,1593.15,1914.58,1827.29,,,
"A,THS_M3,PRV,CONIF,BG",PRV,CONIF,BG,362.6,464.39,421.27,398.0,207.0,395.0,,,,
"A,THS_M3,PRV,CONIF,CH",PRV,CONIF,CH,1232.04,1214.27,917.65,,1042.25,1165.0,1200.0,3350.0,891.0,999.0
"A,THS_M3,PRV,CONIF,CY",PRV,CONIF,CY,1.25,0.84,2.8,1.25,0.67,0.99,1.51,,1.0,
"A,THS_M3,PRV,CONIF,CZ",PRV,CONIF,CZ,,7849.0,3533.0,78.0,3441.0,3960.83,,,,
"A,THS_M3,PRV,CONIF,DE",PRV,CONIF,DE,,30063.71,20200.64,17954.67,16092.87,23676.0,17773.0,13524.0,10129.0,7796.0
"A,THS_M3,PRV,CONIF,DK",PRV,CONIF,DK,,,,,1546.37,1406.4,849.0,1626.03,684.0,
"A,THS_M3,PRV,CONIF,EE",PRV,CONIF,EE,3390.0,4532.49,3241.24,2420.0,1644.0,1960.0,4400.0,,957.0,
"A,THS_M3,PRV,CONIF,EL",PRV,CONIF,EL,,,,,58.48,96.45,89.84,61.48,64.0,169.0
"A,THS_M3,PRV,CONIF,ES",PRV,CONIF,ES,5949.41,7604.23,6180.22,3719.4,3912.86,5243.9,6512.0,,,5817.0
"A,THS_M3,PRV,CONIF,FI",PRV,CONIF,FI,,49361.48,42337.2,36889.59,28371.25,38218.89,41265.0,42072.0,40219.0,37272.0
"A,THS_M3,PRV,CONIF,FR",PRV,CONIF,FR,14544.25,14436.73,14506.57,14550.2,19323.45,17118.25,13649.0,20340.0,13695.0,14289.0
"A,THS_M3,PRV,CONIF,HU",PRV,CONIF,HU,342.21,289.34,262.66,283.84,165.87,206.0,91.0,,,
"A,THS_M3,PRV,CONIF,IE",PRV,CONIF,IE,,,566.55,345.12,160.92,212.0,252.0,,86.0,60.0
"A,THS_M3,PRV,CONIF,IS",PRV,CONIF,IS,,,,0.15,,,,,0.0,0.0
"A,THS_M3,PRV,CONIF,IT",PRV,CONIF,IT,,,1287.79,1109.56,1385.96,1282.15,862.18,1360.0,,
"A,THS_M3,PRV,CONIF,LI",PRV,CONIF,LI,,,,0.0,0.0,1.0,,,,
"A,THS_M3,PRV,CONIF,LT",PRV,CONIF,LT,1610.0,1690.0,1368.0,1694.0,913.57,1245.0,1390.0,,600.0,
"A,THS_M3,PRV,CONIF,LU",PRV,CONIF,LU,139.2,,131.99,,50.63,78.0,78.04,,,188.0
"A,THS_M3,PRV,CONIF,LV",PRV,CONIF,LV,4990.66,4861.07,3934.21,2237.78,3424.78,3902.1,0.0,,,
"A,THS_M3,PRV,CONIF,MT",PRV,CONIF,MT,,0.0,,0.0,0.0,0.0,0.0,,,
"A,THS_M3,PRV,CONIF,NL",PRV,CONIF,NL,232.7,271.7,295.95,246.9,269.39,330.8,277.0,317.0,340.0,280.0
"A,THS_M3,PRV,CONIF,NO",PRV,CONIF,NO,10691.61,10203.18,10342.55,,6804.72,7876.18,7231.7,7345.7,7479.0,7672.0
"A,THS_M3,PRV,CONIF,PL",PRV,CONIF,PL,1281.1,1651.58,1289.11,1132.96,819.45,845.0,870.0,,,
"A,THS_M3,PRV,CONIF,PT",PRV,CONIF,PT,3381.96,3495.81,2459.72,2794.44,3561.53,,,,,
"A,THS_M3,PRV,CONIF,RO",PRV,CONIF,RO,2400.21,1762.25,2101.73,2119.51,1575.1,1262.0,,,,
"A,THS_M3,PRV,CONIF,SE",PRV,CONIF,SE,54160.0,,,55530.0,50200.0,,,52760.0,,
"A,THS_M3,PRV,CONIF,SI",PRV,CONIF,SI,1368.36,2150.93,1879.47,1240.3,1023.63,1210.31,968.0,,,
"A,THS_M3,PRV,CONIF,SK",PRV,CONIF,SK,1726.01,2512.7,2079.99,1726.27,1852.06,1625.0,1318.0,,783.0,
"A,THS_M3,PRV,CONIF,UK",PRV,CONIF,UK,,5979.87,5472.46,4904.58,3121.05,3548.0,2823.0,2162.0,2910.0,2856.0
"A,THS_M3,PRV,NCONIF,AT",PRV,NCONIF,AT,2503.28,2816263.0,2658.23,2803.46,2391.0,2492.0,1994.0,1686.0,1657.0,1669.0
"A,THS_M3,PRV,NCONIF,BE",PRV,NCONIF,BE,,,,,863.66,922.35,740.12,,,
"A,THS_M3,PRV,NCONIF,BG",PRV,NCONIF,BG,300.9,376.5,483.31,676.0,540.0,810.0,,,,
"A,THS_M3,PRV,NCONIF,CH",PRV,NCONIF,CH,463.37,453.31,475.55,,421.63,271.0,300.0,532.0,318.0,291.0
"A,THS_M3,PRV,NCONIF,CY",PRV,NCONIF,CY,0.24,0.69,0.61,0.24,1.15,0.5,0.33,,1.0,
"A,THS_M3,PRV,NCONIF,CZ",PRV,NCONIF,CZ,,487.0,447.0,31.0,352.0,344.17,,,,
"A,THS_M3,PRV,NCONIF,DE",PRV,NCONIF,DE,,8908.93,4251.83,4272.55,3301.3,3256.0,2729.0,2869.0,1696.0,1566.0
"A,THS_M3,PRV,NCONIF,DK",PRV,NCONIF,DK,,,,,519.83,355.83,305.0,411.32,427.0,
