idx,treespec,prod_wd,bark,Country,2021 ,2018 ,2015 ,2012 ,2009 ,2006 ,2003 ,2000 ,1997 ,1994 ,1991 ,1988 
"A,CONIF,RW,THS_M3,OVBK,AT",CONIF,RW,OVBK,AT,17543.03,17963.23,16319.32,16724.44,15768.42,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,BE",CONIF,RW,OVBK,BE,,,,,3135.0,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,BG",CONIF,RW,OVBK,BG,3119.64,3821.51,3334.27,2583.0,1431.0,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,CH",CONIF,RW,OVBK,CH,3670.45,3854.32,3093.51,3303.65,3618.24,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,CY",CONIF,RW,OVBK,CY,,,,11.49,9.79,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,CZ",CONIF,RW,OVBK,CZ,,,,16181.26,15451.7,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,DE",CONIF,RW,OVBK,DE,,,,42311.16,40754.83,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,DK",CONIF,RW,OVBK,DK,,,2905.2,,2336.4,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,EE",CONIF,RW,OVBK,EE,6466.0,7410.0,6140.0,4830.0,3615.0,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,EL",CONIF,RW,OVBK,EL,,,,336.04,484.44,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,ES",CONIF,RW,OVBK,ES,9396.58,11631.14,10687.38,6746.53,6814.46,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,FI",CONIF,RW,OVBK,FI,60414.51,61860.19,53543.07,47581.72,37311.11,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,FR",CONIF,RW,OVBK,FR,24729.13,22889.61,22813.33,23055.74,28484.34,25355.75,24331.11,34254.07,24112.96,24259.45,24186.88,22912.56
"A,CONIF,RW,THS_M3,OVBK,HR",CONIF,RW,OVBK,HR,,,,,,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,HU",CONIF,RW,OVBK,HU,1209.6,1156.25,1185.93,1055.78,900.5,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,IE",CONIF,RW,OVBK,IE,4308.0,3832.0,3087.96,2722.23,2580.41,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,IS",CONIF,RW,OVBK,IS,1.7,2.0,,3.67,,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,IT",CONIF,RW,OVBK,IT,,2454.42,2960.06,2300.25,2266.71,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,LI",CONIF,RW,OVBK,LI,4.39,10.46,6.08,13.2,20.0,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,LT",CONIF,RW,OVBK,LT,4195.69,4164.0,3840.86,4110.61,3086.4,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,LU",CONIF,RW,OVBK,LU,233.64,334.15,216.56,126.94,128.49,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,LV",CONIF,RW,OVBK,LV,9873.6,9030.47,9070.31,7160.27,8180.69,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,MT",CONIF,RW,OVBK,MT,,,,0.0,0.0,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,NL",CONIF,RW,OVBK,NL,1066.82,1063.97,820.0,607.1,660.63,,,,,,,
"A,CONIF,RW,THS_M3,OVBK,NO",CONIF,RW,OVBK,NO,12943.49,13351.16,11671.31,10290.7,8019.35,,,,,,,
